prime,target,condition,thisN,thisTrialN,thisRepN,prResponse.keys,prResponse.rt,prResponse.duration,response.keys,response.rt,response.duration,prTrials.thisRepN,prTrials.thisTrialN,prTrials.thisN,prTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instructions2Disp.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions2.started,text.started,key_resp_3.started,instructions2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions3.started,text_2.started,key_resp_4.started,instructions3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,instructions4.started,text_3.started,key_resp_5.started,instructions4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,instructions5.started,text_4.started,key_resp_6.started,instructions5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,instructions6.started,text_5.started,key_resp_7.started,instructions6.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,instructions7.started,text_6.started,key_resp_8.started,instructions7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instructions8.started,text_7.started,key_resp_9.started,instructions8.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,prFixation.started,prFixationDisp.started,prFixationDisp.stopped,prFixation.stopped,prPrime.started,prPrimeDisp.started,prPrimeDisp.stopped,prPrime.stopped,prTarget.started,prTargetDisp.started,prResponse.started,prTarget.stopped,prTrials.prResponse.keys,prTrials.prResponse.rt,prTrials.prResponse.duration,ready.started,readyDisp.started,key_resp.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation.started,fixationDisp.started,fixationDisp.stopped,fixation.stopped,expPrime.started,primeDisp.started,primeDisp.stopped,expPrime.stopped,expTarget.started,targetDisp.started,response.started,expTarget.stopped,trials.response.keys,trials.response.rt,trials.response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.0051046248991042376,0.008186958031728864,0.008186958031728864,1.4110903330147266,space,1.3233197079971433,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4111382078845054,1.4226160829421133,1.4226160829421133,1.7458275828976184,space,0.3136896248906851,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7458639999385923,1.7551391660235822,1.7551391660235822,1.9639878750313073,space,0.20528908306732774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9640467499848455,1.9702219578903168,1.9702219578903168,2.236762624932453,space,0.26066895807161927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2368274580221623,2.243801624979824,2.243801624979824,2.5198647079523653,space,0.2729507489129901,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.519930958049372,2.5271116660442203,2.5271116660442203,2.8364699580706656,space,0.30394675000570714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8365289999637753,2.8438225409481674,2.8438225409481674,3.1361545000690967,space,0.2871881239116192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.136211749864742,3.144273249898106,3.144273249898106,3.586666624993086,space,0.43652874999679625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
背负,单词,wrd,0,0,0,j,0.4228459580335766,None,,,,0,0,0,4,,,,,3.6047491249628365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5985041249077767,4.085573625052348,5.089315665885806,5.080800582887605,5.085553874960169,5.089315665885806,5.587645333027467,5.580298833083361,5.584072916069999,5.587645333027467,5.587645333027467,6.0141394580714405,j,0.4228459580335766,None,,,,,,,,,,,,,,,,,,,,,,,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
广告,我们,wrd,1,1,0,j,0.2796311671845615,None,,,,0,1,1,0,,,,,6.019785957876593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.01449616602622,6.511384583078325,7.5041120829992,7.4969468750059605,7.501511124894023,7.510413333075121,8.004970999900252,7.996920875040814,8.002218999899924,8.010822624899447,8.010822624899447,8.297442457871512,j,0.2796311671845615,None,,,,,,,,,,,,,,,,,,,,,,,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
大会,涂北,non,2,2,0,f,0.6828119158744812,None,,,,0,2,2,5,,,,,8.303780332906172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.297655750066042,8.794668874936178,9.787544375052676,9.78051379090175,9.785232957918197,9.793713040882722,10.285626915981993,10.278722875053063,10.283913082908839,10.29385891603306,10.29385891603306,10.981104125035927,f,0.6828119158744812,None,,,,,,,,,,,,,,,,,,,,,,,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
效果,国家,wrd,3,3,0,j,0.6844240000937134,None,,,,0,3,3,3,,,,,10.987575249979272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.981330832932144,11.477998791029677,12.471201041014865,12.464088666019961,12.468461083015427,12.477479415945709,12.969827665947378,12.96355462493375,12.96745358291082,12.977097708033398,12.977097708033398,13.664718375075608,j,0.6844240000937134,None,,,,,,,,,,,,,,,,,,,,,,,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
外界,土背,non,4,4,0,f,0.8506529580336064,None,,,,0,4,4,6,,,,,13.670898583019152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.664935874985531,14.161330415867269,15.155371124856174,15.146845124894753,15.152766833081841,15.161332125077024,15.65378295793198,15.64693204103969,15.651135083055124,15.660291499923915,15.660291499923915,16.514048415934667,f,0.8506529580336064,None,,,,,,,,,,,,,,,,,,,,,,,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
庆典,糖雨,non,5,5,0,j,1.0605200419668108,None,,,,0,5,5,2,,,,,16.520127875031903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.514268707949668,17.011522915912792,18.003373333020136,17.996899666031823,18.001012250082567,18.01025266596116,18.503467415925115,18.49676362494938,18.501137249870226,18.510238083079457,18.510238083079457,19.580846166005358,j,1.0605200419668108,None,,,,,,,,,,,,,,,,,,,,,,,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
房租,米宝,non,6,6,0,f,1.174373249989003,None,,,,0,6,6,7,,,,,19.58756341598928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.58110158285126,20.0779513749294,21.07078104093671,21.063881082925946,21.06820745789446,21.07704725000076,21.568485083058476,21.563720457954332,21.566616707947105,21.577975125052035,21.577975125052035,22.753292083041742,f,1.174373249989003,None,,,,,,,,,,,,,,,,,,,,,,,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
小镇,葡萄,wrd,7,7,0,j,0.8882023331243545,None,,,,0,7,7,8,,,,,22.761290665948763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.753510457929224,23.251145374961197,24.261372165987268,24.236297499854118,24.24208595789969,24.277961791027337,,24.76382333296351,24.769142374861985,24.772406416013837,24.772406416013837,25.664283915888518,j,0.8882023331243545,None,,,,,,,,,,,,,,,,,,,,,,,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
学业,梳子,non,8,8,0,j,0.9398494160268456,None,,,,0,8,8,1,,,,,25.67083325004205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.664532833034173,26.161210499936715,27.155832916032523,27.147009375039488,27.153177083004266,27.161725374870002,27.65480420808308,27.646592790959403,27.652114249998704,27.660695124883205,27.660695124883205,28.60328174987808,j,0.9398494160268456,None,,,,,,,,,,,,,,,,,,,,,,,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.603423207998276,28.61075570806861,28.61075570806861,29.331083207856864,space,0.7109565827995539,None,,,,,,,,,,,,,,,,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
蝴蝶,蜜蜂,wrd,0,0,0,,,,j,0.76899145799689,None,,,,,0,0,0,6,29.351360082859173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.34652983304113,29.82791837491095,30.824200625065714,30.81329433294013,30.82159037492238,30.830813582986593,31.327197999926284,31.31868500006385,31.32354520796798,31.327197999926284,31.327197999926284,32.09765716595575,j,0.76899145799689,None,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
生理,性乃,non,1,1,0,,,,f,0.836676208069548,None,,,,,0,1,1,55,32.10141837503761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.097788374871016,32.593781708041206,33.58852441585623,33.579906875034794,33.585769166005775,33.5944477498997,34.08592487499118,34.079831457929686,34.083663374884054,34.09366620797664,34.09366620797664,34.936054749879986,f,0.836676208069548,None,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
邮电,酬方,non,2,2,0,,,,f,1.0128864580765367,None,,,,,0,2,2,52,34.943389874882996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.93629233306274,35.43387591606006,36.4280976660084,36.418959457892925,36.425235165981576,36.433734958060086,36.92717491602525,36.918125374941155,36.924635333009064,36.932443249970675,36.932443249970675,37.947072207927704,f,1.0128864580765367,None,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
便宜,优惠,wrd,3,3,0,,,,j,0.911317833000794,None,,,,,0,3,3,3,37.953416916076094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.947303582914174,38.44446595804766,39.43741683289409,39.43003095802851,39.43480329099111,39.44343287497759,39.93786408286542,39.93028429104015,39.935224832966924,39.94413633295335,39.94413633295335,40.86422308301553,j,0.911317833000794,None,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
注明,家具,wrd,4,4,0,,,,j,0.9058904580306262,None,,,,,0,4,4,7,40.87084800004959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.86450329096988,41.36089808307588,42.35511974990368,42.346643457887694,42.35248899995349,42.3608828750439,42.85397558286786,42.8464195409324,42.85138858295977,42.86054970789701,42.86054970789701,43.76975129102357,j,0.9058904580306262,None,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
思维,住院,wrd,5,5,0,,,,j,0.9552311240695417,None,,,,,0,5,5,39,43.77661370788701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.76999504095875,44.26735508302227,45.26000858307816,45.252246333053336,45.256839874899015,45.26607987494208,45.76006920798682,45.75196624989621,45.75712033291347,45.765762750059366,45.765762750059366,46.73048187489621,j,0.9552311240695417,None,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
出席,足败,non,6,6,0,,,,f,0.8139190410729498,None,,,,,0,6,6,48,46.73691225005314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.73071933304891,47.227652041008696,48.22079379088245,48.213077457854524,48.218176499940455,48.22675683302805,48.72169612487778,48.71304379100911,48.719089166028425,48.72742075007409,48.72742075007409,49.547086915932596,f,0.8139190410729498,None,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
音乐,受甘,non,7,7,0,,,,j,0.967617625137791,None,,,,,0,7,7,22,49.553230999968946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.54732137499377,50.0442977079656,51.03734879102558,51.030213832855225,51.034599625039846,51.04362166603096,51.537919957889244,51.52967487485148,51.53530029091053,51.54376662499271,51.54376662499271,52.513624124927446,j,0.967617625137791,None,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
骑士,邮寄,wrd,8,8,0,,,,j,0.7157099160831422,None,,,,,0,8,8,41,52.51984562491998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.51385641586967,53.01100004091859,54.00398362497799,53.99687354103662,54.00142424996011,54.01025883294642,54.50454983301461,54.496804415946826,54.5018242909573,54.51072504092008,54.51072504092008,55.23029916593805,j,0.7157099160831422,None,917830,001,2025-09-06_14h46.18.128,Jiantizi1-LDT,2024.2.4,None,2025-09-06 14h46.27.104677 +0800,
憔悴,消瘦,wrd,9,9,0,,,,,,,,,,,0,9,9,28,55.236646875040606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.230528332991526,55.727489915909246,56.72276929090731,56.71352679096162,56.72011375008151,56.74420287506655,57.23794662486762,57.229807124938816,57.23466524994001,57.23794662486762,57.23794662486762,,,,,,,,,,,,
